RUBRANOVA,MONOVITAMINAS EXCETO VITAMINA K,,,,
RUBRARGIL,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS,,,,
RUBROMICIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RUDITE,ANTIPARASITARIOS,NITAZOXANIDA,,,
RUDIVAX VACINA DE VIRUS VIVO ATENUADO CONTRA RUBEOLA,VACINAS,,,,
RUIBARBO,OUTROS LAXANTES,,,,
RUKOBIA,ANTIRETROVIRAL,FOSTENSAVIR TROMETAMOL,,,
RULID,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RUMALON,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
RUPAFIN,ANTI-HISTAMINICOS SISTEMICOS,,,,
RUSCUS ACULEATUS L.,FITOTERAPICO SIMPLES,,,,
RUSOVAS,ANTILIPEMICOS,,,,
RUTOSIDO + BROMELAÍNA + TRIPSINA,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
RUTOSIDO + CASTANHA DA INDIA + MIROTON,ANTIVARICOSOS DE ACAO SISTEMICA,,,,
RUVA,ANTILIPEMICOS,ROSUVASTATINA CÁLCICA,,,
RUVASCOR,ANTILIPEMICOS,ROSUVASTATINA CÁLCICA,,,
RUXIENCE,ANTINEOPLASICOS CITOTOXICOS,RITUXIMABE,,,
RYBREVANT,ANTICORPOS MONOCLONAIS,AMIVANTAMABE,,,
RYFLUNA,IMUNOMODULADOR,TERIFLUNOMIDA,,,
RYTMISE,ANTIDEPRESSIVOS,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,,,
RYZODEG,ANTIDIABETICOS,,,,
Radionaf,AGENTES DIAGNOSTICOS RADIOATIVOS,FLUORETO DE SÓDIO,,,
Rarija,OUTROS ANTINEOPLASICOS,ACETATO DE ABIRATERONA,,,
Reactine,ANTI-HISTAMINICOS SISTEMICOS,,,,
Redoxon Tripla Ação CR,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,ASCORBATO DE SÓDIO +  COLECALCIFEROL +  CITRATO DE ZINCO TRI-HIDRATADO,,,
Refresh,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,,,,
Remsima,ANTINFLAMATORIOS,INFLIXIMABE,,,
Renvela,PRODUTOS NAO ENQUADRADOS EM CLASSES TERAPEUTICAS,,,,
Replagal,ENZIMA PARA REPOSIÇAO,,,,
Resparol,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,,,,
Resplix,FITOTERAPICO SIMPLES,HEDERA HELIX L.,,,
Restitue,ANTIACIDOS E ANTIULCEROSOS,PANTOPRAZOL MAGNÉSICO DI-HIDRATADO,,,
Restiva,ANALGESICOS NARCOTICOS,,,,
Reumatri,FITOTERAPICO SIMPLES,,,,
Revenil Dospan,BRONCODILATADORES,,,,
Rexulti,OUTROS ANTIPSICÓTICOS,BREXPIPRAZOL,,,
Rifamicina SV sódica,ANTIBACTERIANO,RIFAMICINA SV SÓDICA,,,
Rinosoro,DESCONGESTIONANTES NASAIS TOPICOS,,,,
Riscard,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,RANOLAZINA,,,
Risedronato sódico,SUPRESSORES DA REABSORCAO OSSEA,RISEDRONATO SÓDICO,,,
Roxetin,ANTIDEPRESSIVOS,CLORIDRATO DE PAROXETINA,,,
Rozerem,HIPNÓTICOS E SEDATIVOS,RAMELTEONA,,,
Rubia,ANTICONCEPCIONAIS,DESOGESTREL,,,
Rybelsus,ANTIDIABETICOS,SEMAGLUTIDA,,,
Rydapt,INIBIDORES DA PROTEÍNA QUINASE  + OUTROS AGENTES ANTINEOPLÁSICOS,MIDOSTAURINA,,,
S-NICOTINA,ANTITABAGICO,,,,
SABAL HOMACCORD,ASSOCIACAO HOMEOPATICAS,,,,
SABINE,ANTINEOPLASICO,LETROZOL,,,
SABOFEN,ANTISSEPTICO,IODOPOVIDONA,,,
SABONETE MEDICINAL PELOTENSE,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
SABRIL,ANTICONVULSIVANTES,,,,
SABUGUEIRO YANTEN,FITOTERAPICO SIMPLES + OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO,,,,
SACCHAROMYCES BOULARDII 17,OUTROS COADJUVANTES DO TRATAMENTO DA DIARREIA,,,,
SACFER,NUTRIENTES PARENTERAIS,SACARATO DE ÓXIDO FÉRRICO,,,
SACIETTE,ANOREXICOS SIMPLES,CLORIDRATO DE SIBUTRAMINA MONOIDRATADO,,,
SADOL,ANTIANEMICOS SIMPLES,SACARATO DE ÓXIDO FÉRRICO,,,
SAFE PD,SOLUCOES PARA DIALISE PERITONIAL,,,,
SAFLUTAN,ANTIGLAUCOMATOSOS,,,,
SAH-TEC,,ALBUMINA HUMANA,,,
SAICLO,ANTINEOPLASICO,,,,
SAIS  PARA REIDRATAÇÃO ORAL,REIDRATANTES ORAIS,,,,
SAIS PARA REIDRATACAO,REIDRATANTES ORAIS,,,,
SAISTRAT,REIDRATANTES ORAIS,,,,
SAIZEN,HORMONIO RECOMBINANTE DO CRESCIMENTO HUMANO,,,,
SAL AMARGO,LAXANTES SALINOS ORAIS,,,,
SAL DE ANDREWS,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,,,,
SAL DE FRUTA ENO,ANTIACIDOS E ANTIULCEROSOS SIMPLES,,,,
SAL DE VICHY EFERVESCENTE - EMS,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
SAL SODICO DO ACIDO METILENODISFOSFONICO,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
SALACT,CERATOLITICOS E CERATOPLASTICOS,,,,
SALAZOPRIN,ANTINFLAMATORIOS,,,,
SALBULIM,BRONCODILATADORES,,,,
SALBURIN,BRONCODILATADORES,,,,
SALBUTAM,BRONCODILATADORES,,,,
SALBUTAMOL,ANTIASMATICOS,,,,
SALBUTIB,BRONCODILATADORES,,,,
SALBUTRAT,BRONCODILATADORES,,,,
SALCATONIN,HORMONIOS TIREOIDEANOS SIMPLES OU ASSOCIADOS ENTRE SI,,,,
SALDER S,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
SALICETIL,ANALGESICOS,ACIDO ACETILSALICILICO +  ÁCIDO ACETILSALICILSALICÍLICO,,,
SALICIL,ANALGESICOS NAO NARCOTICOS,,,,
SALICILAMIDA + ASSOCIACOES,ANALGESICOS,,,,
SALICILATO DE BISMUTO + ASSOCIAÇÕES,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,,,,
SALICILATO DE BISMUTO BÁSICO,ANTIDIARREICOS ADSORVENTES E ANTIFISETICOS,,,,
SALICILATO DE BISMUTO MONOBASICO,ANTIACIDO,,,,
SALICILATO DE METILA +  ASSOCIAÇÕES,RUBEFACIENTES,,,,
SALICILATO DE METILA +  MENTOL,RUBEFACIENTES,,,,
SALICILATO DE METILA + ASSOCIACOES,RELAXANTES MUSCULARES,,,,
SALICILATO DE METILA + ASSOCIAÇÕES,RUBEFACIENTES,,,,
SALICILATO DE METILA + MENTOL + CLORIDRATO DE METACOLINA,RUBEFACIENTES,,,,
SALICILATO DE METILA + MENTOL U.S.P,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
SALICILATO DE METILA + TEREBENTINA + CANFORA + MENTOL,PRODUTOS NATURAIS ASSOCIADOS,,,,
SALICILATO DE METILA COMPOSTO,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
SALICILATO DE METILA+CANFORA+MENTOL+TEREBENTINA,RUBEFACIENTES,,,,
SALICILATO DE SODIO + ASSOCIAÇÕES,PRODUTOS NATURAIS,,,,
SALICIN,ANALGESICOS NAO NARCOTICOS,,,,
SALIDA,DIURETICOS SIMPLES,,,,
SALIMETIN,RUBEFACIENTES,,,,
SALIPIRIN,ANALGESICOS NAO NARCOTICOS,,,,
SALISMUT,ANTIACIDO,,,,
SALISVIT C,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,,,,
SALITIL,ANALGESICOS NAO NARCOTICOS,,,,
SALIVAN,DEMULCENTES E OUTROS MEDS. USO ORAL P/ TRATAM. OROFARINGE,,,,
SALIX ALBA ORIENT,ANALGESICOS + ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,,,,
SALONFER,ANTIANEMICOS SIMPLES,,,,
SALONPAS,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,ACETATO DE ALFA TOCOFEROL +  CÂNFORA +  LEVOMENTOL +  MENTOL +  SALICILATO DE ETILENOGLICOL +  SALICILATO DE METILA +  TIMOL,,,
SALONPAS PAIN RELIEF PATCH,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,LEVOMENTOL +  SALICILATO DE METILA,,,
SALSAPARILHA COMPOSTO,PRODUTOS NATURAIS ASSOCIADOS,,,,
SALSATRÊSQUINAS,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
SALSEP,DESCONGESTIONANTES NASAIS TOPICOS,,,,
SALVELOX,ANTISSEPTICO,,,,
SALVIT-M,POLIVITAMINICOS SEM MINERAIS,,,,
SALVOTUX,EXPECTORANTES,HEDERA HELIX L.,,,
SAMAR-IPEN,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SAMÁRIO 153SM LEXIDRONAM,,,
SAMILE,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,SUCCINATO DE SOLIFENACINA,,,
SANADOR,RUBEFACIENTES,,,,
SANAGAS,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,,,,
SANASAR,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,BENZOATO DE BENZILA,,,
SANATIVO,CICATRIZANTES + FITOTERAPICO COMPOSTO,,,,
SANATOL,ASSOCIACAO HOMEOPATICAS,,,,
SANCOL,ANTILIPEMICOS,,,,
SANDIMMUN/SANDIMMUN NEORAL,AGENTE IMUNOSUPRESSOR + IMUNOSUPRESSOR,CICLOSPORINA,,,
SANDOGLOBULINA,IMUNOGLOBULINAS,,,,
SANDOMIGRAN,ANTI-HISTAMINICOS SISTEMICOS,,,,
SANDOSTATIN,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,ACETATO DE OCTREOTIDA,,,
SANDRENA,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA,ESTRADIOL,,,
SANGEL,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS,,,,
SANGORAL,ANTIANEMICOS SIMPLES,,,,
SANGOTONE,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS,,,,
SANGOVIT,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS,,,,
SANGUENOL,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,,,,
SANIFOLIN,ANTIMETABOLICOS ANTAGONISTAS DO ACIDO FOLICO,,,,
SANILIN,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,,,,
SANLAX,FITOTERAPICO SIMPLES,,,,
SANOBIOL AGUA PARA INJEÇÃO,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
SANPRONOL,BETABLOQUEADORES SIMPLES,CLORIDRATO DE PROPRANOLOL,,,
SANPROST,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,SERENOA REPENS (W. BARTRAM) SMALL,,,
SANTIAZEPAM,ANSIOLITICOS SIMPLES,DIAZEPAM,,,
SANTICILINA,PENICILINA DE AMPLO ESPECTRO,,,,
SANTIDOR,ANALGESICOS,DIPIRONA,,,
SANTIGEL,ANTIACIDO,,,,
SANTIPLEX B,POLIVITAMINICOS SEM MINERAIS,CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  DEXPANTENOL +  NICOTINAMIDA +  FOSFATO DE RIBOFLAVINA,,,
SANTISA CLORETO DE POTASSIO,ELETROLITOS SIMPLES,,,,
SANTITOSS,EXPECTORANTES,,,,
SANTROPINA,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,SULFATO DE ATROPINA,,,
SANTUSSAL,ANTITUSSIGENOS,,,,
SANTÓSS,EXPECTORANTES SIMPLES,,,,
SANVALIV,RUBEFACIENTES,,,,
SANVAPRESS,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL,,,
SANVERME,ANTIPARASITARIOS,,,,
SANY D,VITAMINAS,COLECALCIFEROL,,,
SANY D 800,ANALOGO SINTETICO DA VITAMINA D,COLECALCIFEROL,,,
SANY D CAPS,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
SAQUINAVIR,ANTIVIROTICOS,,,,
SAQUINAVIR (PORT. 344/98 LT C4),ANTIVIROTICOS,,,,
SAQUIVIRAL,ANTIVIROTICOS,,,,
SARCOTON,ANTIALCOOLICO,,,,
SARFIRAM,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
SARGENOR,NEUROTONICO,,,,
SARIDON,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
SARNERICO,ANTIPARASITARIOS,,,,
SARNEZAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
SARNILAB,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
SARNIZILA,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,BENZOATO DE BENZILA,,,
SARNODEX,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
SAROLIN,BRONCODILATADORES,,,,
SARPIOL,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
SARTIR,ANTI-HIPERTENSIVOS SIMPLES,,,,
SASTID,ANTIMICOTICOS PARA USO TOPICO,,,,
SATUMOMAB PENDETIDE,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
SAVIR,ANTIVIROTICOS,,,,
SAW PALMETO,FITOTERAPICO SIMPLES,,,,
SAW PALMETTO BRASMED,FITOTERAPICO SIMPLES,,,,
SAXENDA,OUTROS HORMONIOS E MODULADORES DO METABOLISMO E DA DIGESTAO,LIRAGLUTIDA,,,
SAYA CONTROL,ANTICONCEPCIONAIS,LEVONORGESTREL,,,
SAYANA,PROGESTAGENOS SIMPLES,,,,
SCABENZIL,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
SCABIOS,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
SCAFLAM,ANTINFLAMATORIOS,,,,
SCAFLOGIN,ANTINFLAMATORIOS,NIMESULIDA,,,
SCALID,ANTINFLAMATORIOS,NIMESULIDA,,,
SCANDICAINE,ANESTESICOS LOCAIS,,,,
SCANDICAINE 2%,PRODUTOS PARA USO EM ODONTOLOGIA,,,,
SCANDICAINE 3%,PRODUTOS PARA USO EM ODONTOLOGIA,,,,
SCHEROLIL,EXPECTORANTES BALSAMICOS E MUCOLITICO,,,,
SCHISTOQUINA,OUTROS ANTIPARASITARIOS PARA AFECCOES INTERNAS,,,,
SCITALAX,ANTIDEPRESSIVOS,,,,
SCOLYDRIN,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.,,,
SEACALCIT,HORMONIO HIPOCALCEMICO,CALCITONINA SINTÉTICA DE SALMÃO,,,
SEAKALM,FITOTERAPICO COMPOSTO,,,,
SEASONIQUE,ANTICONCEPCIONAIS,,,,
SEBIVO,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),TELBIVUDINA,,,
SECDAZOL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",SECNIDAZOL,,,
SECFAR,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",SECNIDAZOL,,,
SECNADIN,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECNAL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECNAXIDOL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECNI-PLUS,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECNICS,ANTIPARASITARIOS,,,,
SECNIDAL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECNIDALIN,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECNIDAZOL,ANTIPARASITARIOS,,,,
SECNIHEXAL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",SECNIDAZOL,,,
SECNIMAX,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",SECNIDAZOL,,,
SECNITROL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECNIZOL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECOTEX,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,,,,
SECRELISE,EXPECTORANTES BALSAMICOS E MUCOLITICO,BENZOATO DE SÓDIO +  CLORIDRATO DE OXOMEMAZINA +  GUAIFENESINA +  IODETO DE POTÁSSIO,,,
SECSIM,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECTIL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECUCLOR,PSICOLEPTICOS,,,,
SECUDARONA,ANTIANGINOSOS E VASODILATADORES,,,,
SECUDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
SECUDIP,ANALGESICOS NAO NARCOTICOS,,,,
SECUFEN,ANTICONVULSIVANTES,,,,
SECUFENOTAL,ANTICONVULSIVANTES,,,,
SECUIPRAN,ANTIDEPRESSIVOS,,,,
SECULEXINA,CEFALOSPORINAS,,,,
SECUPAM,ANSIOLITICOS SIMPLES,,,,
SECUPIRAZIN,TUBERCULOSTATICOS,,,,
SECUPRANOL,ANTIANGINOSOS E VASODILATADORES,,,,
SECUQUIDIN,ANTIARRITMICOS,,,,
SECURICOL,CLORANFENICOL E ANALOGOS,,,,
SECURIZINA,VASODILATADORES CEREBRAIS,,,,
SECURTISONA,GLICOCORTICOIDES SISTEMICOS,,,,
SECUSEMIDA,DIURETICOS SIMPLES,,,,
SECUSOLONA,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
SECUSONA,GLICOCORTICOIDES SISTEMICOS,,,,
SECUTIDINA,ANTIULCEROSOS,,,,
SECUTRAZEPAN,ANSIOLITICOS SIMPLES,,,,
SECUTRONIDA,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
SECUTROPINA,MIDRIATICOS,,,,
SECZOL,PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS,,,,
SEDACAL,FITOTERAPICO SIMPLES,,,,
SEDACLON,ANTICONVULSIVANTES,,,,
SEDADOR,ANTIESPASMODICOS,,,,
SEDALEX,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,CAFEÍNA +  CITRATO DE ORFENADRINA +  DIPIRONA MONOIDRATADA,,,
SEDALGIN,ANALGESICOS NAO NARCOTICOS,,,,
SEDALGINA,ANALGESICOS,,,,
SEDALIN,ANALGESICOS,,,,
SEDALIVE,ANALGESICOS,,,,
SEDALMERCK,ANALGESICOS,,,,
SEDALOL COMPOSTO,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,,,,
SEDALÊNE,ANTIESPASMODICOS,,,,
SEDANTOL,FITOTERAPICO COMPOSTO,,,,
SEDANUS,PRODUTOS NATURAIS ASSOCIADOS,,,,
SEDATOSS,EXPECTORANTES BALSAMICOS E MUCOLITICO,,,,
SEDATUX MEL,EXPECTORANTES,,,,
SEDAVAN,EXPECTORANTES BALSAMICOS E MUCOLITICO,,,,
SEDILAX,ANTINFLAMATORIOS,,,,
SEDOL,ANALGESICOS CONTRA ENXAQUECA,CAFEÍNA ANIDRA +  DIPIRONA +  MUCATO DE ISOMETEPTENO,,,
SEDOPAN,ANTIDEPRESSIVOS,,,,
SEDUSPAR,ANSIOLITICOS SIMPLES,,,,
SEFENTIL,ANALGESICOS NARCOTICOS,,,,
SEIS B,MONOVITAMINAS EXCETO VITAMINA K,,,,
SEIVA DE JATOBÁ,FITOTERAPICO SIMPLES,,,,
SEIZLA,ANTICONVULSIVANTES,LACOSAMIDA,,,
SEKI,ANTITUSSIGENOS,FENDIZOATO DE CLOPERASTINA,,,
SELECTA,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
SELECTOCALCIO,PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS,,,,
SELECTOCÁLCIO,PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS,,,,
SELECTRIM,OUTRAS ASSOCIACOES DE SULFAS OU TRIMETOPRIMA,,,,
SELECTRIN,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,,,,
SELEGILINA,ANTIPARKINSONIANOS,,,,
SELEN HAIR OURO,ANTIMICOTICOS PARA USO TOPICO,,,,
SELENE,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE CIPROTERONA +  ETINILESTRADIOL,,,
SELENIUM HOMACCORD,ASSOCIACAO HOMEOPATICAS,,,,
SELENOZ,ELETROLITOS SIMPLES,SELÊNIO,,,
SELETIV,ANTINEOPLASICO,FULVESTRANTO,,,
SELIMAX,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
SELIMAX PULSO,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
SELIT,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
SELOKEN,BETABLOQUEADORES SIMPLES,TARTARATO DE METOPROLOL,,,
SELOPRESS,DIURETICOS ASSOCIADOS A BETABLOQUEADORES,,,,
SELOZOK,BETABLOQUEADORES SIMPLES,SUCCINATO DE METOPROLOL,,,
SELOZOK FIX,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,FELODIPINO +  SUCCINATO DE METOPROLOL,,,
SELSUN OURO,MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA,,,,
SELVIGON,ANTITUSSIGENOS SIMPLES,,,,
SELZIC,ANTICONVULSIVANTES,,,,
SEMAP,NEUROLEPTICOS,,,,
SEMENTE DE UVA ORIENT,FITOTERAPICO SIMPLES,,,,
SEMSAN,ANTI-HEMORRAGICOS,,,,
SENA + ASSOCIACOES,LAXANTES,,,,
SENAN,FITOTERAPICO SIMPLES,,,,
SENARETI,LAXANTES INCREMENTADORES DO BOLO INTESTINAL,,,,
SENCIL,CICATRIZANTES,,,,
SENE + ASSOCIACOES,FITOTERAPICOS ASSOCIADOS + LAXANTES,,,,
SENE BRASMED,FITOTERAPICO SIMPLES + LAXANTES IRRITANTES OU ESTIMULANTES,,,,
SENE COMPRIMIDOS ADV,FITOTERAPICO SIMPLES + LAXANTES,,,,
SENE HERBARIUM,FITOTERAPICO SIMPLES,,,,
SENE ORIENT,FITOTERAPICO SIMPLES + LAXANTES,,,,
SENE TIARAJU,FITOTERAPICO SIMPLES + LAXANTES,,,,
SENE YANTEN,FITOTERAPICO SIMPLES,,,,
SENEBEN,FITOTERAPICO SIMPLES + LAXANTES,SENNA ALEXANDRINA MILL.,,,
SENEFLORA,LAXANTES,SENNA ALEXANDRINA MILL.,,,
SENES,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
SENFOR,FITOTERAPICO SIMPLES,,,,
SENILIUM,POLIVITAMINICOS COM MINERAIS,,,,
SENNA ALEXANDRINA,FITOTERAPICO SIMPLES,,,,
SENNA ALEXANDRINA MILLER,FITOTERAPICO SIMPLES,,,,
SENNALAX,LAXANTES,SENNA ALEXANDRINA MILL.,,,
SENNE BRASTERÁPICA,LAXANTES,SENNA ALEXANDRINA MILL.,,,
SENOCLIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
SENOPHILE,ANTISSEPTICO,,,,
SENSAZ,ANTIPSICOTICOS,,,,
SENSIBABY,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
SENSIDERME,ANTINFECCIOSOS TOPICOS,,,,
SENSIFEMI,FITOTERAPICO SIMPLES,,,,
SENSILACRI,EMOLIENTES E PROTETORES OFTALMICOS,HIPROMELOSE +  DEXTRANA 70 (99M TC),,,
SENSINIL TM,ANESTESICOS LOCAIS,,,,
SENSITEX,CORTICOSTEROIDES TOPICOS,,,,
SENSITRAM,ANALGESICOS NARCOTICOS,,,,
SENUSLAX,FITOTERAPICO SIMPLES + LAXANTES,SENNA ALEXANDRINA MILL.,,,
SEPIA OFF + CALCAREA CARB + IGNATIA AMARA,ASSOCIACAO HOMEOPATICAS,,,,
SEPTAM BD,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMOXICILINA SÓDICA +  AMOXICILINA TRI-HIDRATADA +  SULBACTAM SÓDICO +  SULBACTAM PIVOXILA,,,
SEPTANEST,ANESTESICOS LOCAIS,,,,
SEPTANEST 1/100,PRODUTOS PARA USO EM ODONTOLOGIA,,,,
SEPTANEST 1/200,PRODUTOS PARA USO EM ODONTOLOGIA,,,,
SEPTMYC,MACROLIDEOS,CLARITROMICINA,,,
SEPTOPAL,AMINOGLICOSIDEOS,,,,
SEPTRA,ANTIBIOTICOS SISTEM -ASSOC  MEDIC  ENTRE ANTINFEC,,,,
SEPURIN,ANTISSEPTICOS URINARIOS-ASSOCIACOES MEDICAMENTOSAS,CLORETO DE METILTIONÍNIO +  METENAMINA,,,
SERCERIN,ANTIDEPRESSIVOS,,,,
SERENATA,ANTIDEPRESSIVOS,CLORIDRATO DE SERTRALINA,,,
SERENEX,HIPNOTICOS,,,,
SERENOA REPENS,FITOTERAPICO SIMPLES,,,,
SERENOA REPENS BART.,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,,,,
SERENUS,FITOTERAPICOS ASSOCIADOS,CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  SALIX ALBA L.,,,
SERETIDE,ANTIASMATICOS,,,,
SEREVENT,BRONCODILATADORES,,,,
SERGOLINA,VASODILATADORES CEREBRAIS,,,,
SERMION,VASODILATADORES CEREBRAIS,,,,
SEROBIF,ANTIVIROTICOS,,,,
SEROBLOCK,ANTIDEPRESSIVOS,,,,
SEROLEX,ANTIDEPRESSIVOS,,,,
SEROLIFT,ANTIDEPRESSIVOS,,,,
SERONIP,ANTIDEPRESSIVOS,,,,
SEROPHENE,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA,,,,
SEROQUEL,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
SEROSTIM,OUTROS HORMONIOS E MODULADORES DO METABOLISMO E DA DIGESTAO,,,,
SEROTABIR,ANTINEOPLASICO,,,,
SERTAMIZOL,ANTIMICOTICOS PARA USO TOPICO,,,,
SERTERO,ANTIDEPRESSIVOS,,,,
SERTRALIN,ANTIDEPRESSIVOS,,,,
SERUM-BRASVIT,VACINAS,,,,
SERZONE,ANTIDEPRESSIVOS,,,,
SETH,ANTITABAGICO,,,,
SETROCICLINA,ANTINFECCIOSOS,,,,
SETRONAX,ANTIEMETICOS E ANTINAUSEANTES,,,,
SETUX,ANTITUSSIGENOS,,,,
SEV,ANESTESICOS GERAIS VOLATEIS E GASOSOS,SEVOFLURANO,,,
SEVCLOT,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
SEVOCRIS,ANESTESICOS GERAIS VOLATEIS E GASOSOS,SEVOFLURANO,,,
